Country_name,VG,Region,Cluster,Top_6,Large_or_Small,Global_Focus_Markets,Platform,View_ID,VG_GA_name,Homepage_URL,from_dt,to_dt,is_active
United Arab Emirates,AE,APAC,UAE+,No,L,Yes,intershop,80792051,UAE,https://www.miele.ae,2021-01-01,2050-12-31,Y
Austria,AT,DACH,Austria+,No,L,Yes,hybris,237943496,AT,https://www.miele.at,2021-03-02,2050-12-31,Y
Australia,AU,APAC,Australia+,Yes,L,Yes,intershop,68359854,AUS,https://www.miele.com.au,2021-01-01,2050-12-31,Y
Belgium,BE,NWE,BeLux,No,L,Yes,legacy,78938354,BE,https://www.miele.be,2021-01-01,2022-05-17,N
Belgium,BE,NWE,BeLux,No,L,Yes,hybris,266230247,BE,https://www.miele.be,2022-05-18,2050-12-31,Y
Bulgaria,BG,SEE,EEC,No,S,No,local,128047471,BG,https://www.miele.bg,2021-01-01,2050-12-31,Y
Brazil,BR,LATAM,Chile+,No,S,No,local,197382296,BZ,https://www.mielebrasil.com.br,2021-01-01,2050-12-31,Y
Canada,CA,NAR,,No,L,Yes,local,102222417,CDN,https://www.miele.ca,2021-01-01,2050-12-31,Y
Switzerland,CH,DACH,,Yes,L,Yes,legacy,78934695,CH,https://www.miele.ch,2021-01-01,2022-07-11,N
Switzerland,CH,DACH,,Yes,L,Yes,hybris,269983198,CH,https://www.miele.ch,2022-07-12,2050-12-31,Y
Chile,CL,LATAM,Chile+,No,L,Yes,local,80791859,CL,https://www.miele.cl,2021-01-01,2050-12-31,Y
China,CN,APAC,,No,L,Yes,intershop,80788860,CN,https://www.miele.cn,2021-01-01,2050-12-31,Y
Czech Republic,CZ,SEE,EEC,No,S,No,intershop,80813318,CZ,https://www.miele.cz,2021-01-01,2023-09-19,N
Czech Republic,CZ,SEE,EEC,No,S,No,hybris,292536214,CZ,https://www.miele.cz,2023-09-20,2050-12-31,Y
Germany,DE,DACH,,Yes,L,Yes,legacy,78934498,D,https://www.miele.de,2021-01-01,2023-01-23,N
Germany,DE,DACH,,Yes,L,Yes,hybris,281005032,D,https://www.miele.de,2023-01-24,2050-12-31,Y
Denmark,DK,NWE,Nordics,No,S,No,hybris,242715778,DK,https://www.miele.dk,2021-06-23,2050-12-31,Y
Spain,ES,SEE,Iberia,No,L,Yes,legacy,78939442,ES,https://www.miele.es,2021-01-01,2022-11-06,N
Spain,ES,SEE,Iberia,No,L,Yes,hybris,279034086,ES,https://www.miele.es,2022-11-07,2050-12-31,Y
Finland,FI,NWE,Nordics,No,S,No,legacy,81850142,FIN,https://www.miele.fi,2021-01-01,2022-02-01,N
Finland,FI,NWE,Nordics,No,S,No,hybris,258664140,FIN,https://www.miele.fi,2022-02-02,2050-12-31,Y
France,FR,NWE,,No,L,Yes,hybris,252536143,FR,https://www.miele.fr,2021-01-01,2050-12-31,Y
United Kingdom,GB,NWE,United Kingdom+,Yes,L,Yes,hybris,242802070,GB,https://www.miele.co.uk,2021-06-22,2050-12-31,Y
Greece,GR,SEE,Greece+,No,L,Yes,legacy,78941828,GR,https://www.miele.gr,2021-01-01,2023-04-03,N
Lithuania,LT,NWE,Baltics,No,S,No,intershop,83141249,LT,https://www.miele.lt,2021-01-01,2050-12-31,Y
Estonia,EE,NWE,Baltics,No,S,No,intershop,80814013,EE,https://www.miele.ee,2021-01-01,2050-12-31,Y
Hong Kong,HK,APAC,,No,L,Yes,intershop,80792753,HK,https://www.miele.hk,2021-01-01,2050-12-31,Y
Croatia,HR,DACH,Austria+,No,S,No,intershop,102285925,HR,https://www.miele.hr,2021-01-01,2050-12-31,Y
Hungary,HU,SEE,EEC,No,S,No,local,102220228,HU,https://www.miele.hu,2021-01-01,2023-05-30,N
Hungary,HU,SEE,EEC,No,S,No,hybris,290188517,HU,https://www.miele.hu,2023-05-31,2050-12-31,Y
Ireland,IE,NWE,United Kingdom+,No,S,No,legacy,78943011,IRL,https://www.miele.ie,2021-01-01,2022-12-05,N
