VG,Country_Name,Region,Cluster,Top_6,Large_or_Small,Global_Focus_Markets,VG_GA_Name,Homepage_URL,From_DT,To_DT,is_active
AE,United Arab Emirates,APAC,UAE+,No,L,Yes,UAE,https://www.miele.ae,2023-06-20,2050-12-31,Y
AT,Austria,DACH,Austria+,No,L,Yes,AT,https://www.miele.at,2023-06-20,2050-12-31,Y
AU,Australia,APAC,Australia+,Yes,L,Yes,AUS,https://www.miele.com.au,2023-06-20,2050-12-31,Y
BE,Belgium,NWE,BeLux,No,L,Yes,BE,https://www.miele.be,2023-06-20,2050-12-31,Y
BG,Bulgaria,SEE,EEC,No,S,No,BG,https://www.miele.bg,,2050-12-31,N
CH,Switzerland,DACH,,Yes,L,Yes,CH,https://www.miele.ch,2023-06-20,2050-12-31,Y
CN,China,APAC,,No,L,Yes,CN,https://www.miele.cn,,2050-12-31,N
CZ,Czech Republic,SEE,EEC,No,S,No,CZ,https://www.miele.cz,2023-06-20,2050-12-31,Y
DE,Germany,DACH,,Yes,L,Yes,D,https://www.miele.de,2023-06-20,2050-12-31,Y
DK,Denmark,NWE,Nordics,No,S,No,DK,https://www.miele.dk,2023-06-20,2050-12-31,Y
EE,Estonia,NWE,Baltics,No,S,No,EE,https://www.miele.ee,2023-06-20,2050-12-31,Y
ES,Spain,SEE,Iberia,No,L,Yes,ES,https://www.miele.es,2023-06-20,2050-12-31,Y
FI,Finland,NWE,Nordics,No,S,No,FIN,https://www.miele.fi,2023-06-20,2050-12-31,Y
FR,France,NWE,,No,L,Yes,FR,https://www.miele.fr,2023-06-20,2050-12-31,Y
GB,United Kingdom,NWE,United Kingdom+,Yes,L,Yes,GB,https://www.miele.co.uk,2023-06-20,2050-12-31,Y
GR,Greece,SEE,Greece+,No,L,Yes,GR,https://www.miele.gr,2023-06-20,2050-12-31,Y
HK,Hong Kong,APAC,,No,L,Yes,HK,https://www.miele.hk,2023-06-20,2050-12-31,Y
HR,Croatia,DACH,Austria+,No,S,No,HR,https://www.miele.hr,2023-06-20,2050-12-31,Y
HU,Hungary,SEE,EEC,No,S,No,HU,https://www.miele.hu,2023-06-20,2050-12-31,Y
IE,Ireland,NWE,United Kingdom+,No,S,No,IRL,https://www.miele.ie,2023-06-20,2050-12-31,Y
IT,Italy,SEE,,Yes,L,Yes,IT,https://www.miele.it,2023-06-20,2050-12-31,Y
JP,Japan,APAC,,No,L,Yes,JP,https://www.miele.co.jp,2023-06-20,2050-12-31,Y
KR,South Korea,APAC,,No,L,Yes,ROK,https://www.miele.co.kr,2023-06-20,2050-12-31,Y
LT,Lithuania,NWE,Baltics,No,S,No,LT,https://www.miele.lt,2023-06-20,2050-12-31,Y
LU,Luxembourg,NWE,BeLux,No,S,No,LUX,https://www.miele.lu,2023-06-20,2050-12-31,Y
LV,Latvia,NWE,Baltics,No,S,No,LV,https://www.miele.lv,2023-06-20,2050-12-31,Y
MY,Malaysia,APAC,Singapore+,No,S,No,MY,https://www.miele.my,2023-06-20,2050-12-31,Y
NL,Netherlands,NWE,,Yes,L,Yes,NL,https://www.miele.nl,2023-06-20,2050-12-31,Y
NO,Norway,NWE,Nordics,No,S,No,NO,https://www.miele.no,2023-06-20,2050-12-31,Y
NZ,New Zealand,APAC,Australia+,No,S,No,NZ,https://www.miele.co.nz,2023-06-20,2050-12-31,Y
PL,Poland,SEE,EEC,No,S,No,PL,https://www.miele.pl,2023-06-20,2050-12-31,Y
PT,Portugal,SEE,Iberia,No,L,Yes,PT,https://www.miele.pt,2023-06-20,2050-12-31,Y
SE,Sweden,NWE,Nordics,No,S,No,SE,https://www.miele.se,2023-06-20,2050-12-31,Y
SG,Singapore,APAC,Singapore+,No,L,Yes,SGP,https://www.miele.sg,2023-06-20,2050-12-31,Y
SI,Slovenia,DACH,Austria+,No,S,No,SI,https://www.miele.si,2023-06-20,2050-12-31,Y
SK,Slovakia,SEE,EEC,No,S,No,SK,https://www.miele.sk,2023-06-20,2050-12-31,Y
US,United States of America,NAR,,No,L,Yes,USA,https://www.mieleusa.com,2023-06-20,2050-12-31,Y
ZA,South Africa,NWE,United Kingdom+,No,S,No,ZA,https://www.miele.co.za,,2050-12-31,N
