rep_unit_code,rep_unit_desc,dealer_agent_code,dealer_agent_desc
3100,Miele Nordic RDC (3100),#,3100/Not assigned
3100,Miele Nordic RDC (3100),0003772598,Nobia Production Sweden AB
3100,Miele Nordic RDC (3100),0003773345,Nobia Denmark A/S
3100,Miele Nordic RDC (3100),0003780582,Whiteaway A/S
3100,Miele Nordic RDC (3100),0003784944,Elgiganten Distribution AB
3100,Miele Nordic RDC (3100),0003784947,Power International Logistics AB
3100,Miele Nordic RDC (3100),0003785617,Elon Group Central warehouse
3100,Miele Nordic RDC (3100),0005775729,Komplett Services AS
3100,Miele Nordic RDC (3100),0010841239,Power International Logistics AB XD
3100,Miele Nordic RDC (3100),0011662735,NetOnNet AB
4300,VG RO (VG4300),#,4300/#
4300,VG RO (VG4300),0004955513,"MIELE, spol. s r.o."
4300,VG RO (VG4300),0007945024,DACRIS IMPEX S.R.L.
4300,VG RO (VG4300),0007945026,MIELE TEHNICA S.R.L.
4300,VG RO (VG4300),0007945028,OVO DESIGN FURNITURE GROUP S.R.L.
4300,VG RO (VG4300),0007945030,BUCOVINA ELECTRO TOP S.R.L.
4300,VG RO (VG4300),0007945045,ALTEX ROMANIA SRL
4300,VG RO (VG4300),0007945046,NEOMINE S.R.L.
4300,VG RO (VG4300),0007945049,MARELVI IMPEX S.R.L.
4300,VG RO (VG4300),0007945062,PECEF TEHNICA S.R.L.
4300,VG RO (VG4300),0007945069,MODA PEDINA S.R.L.
4300,VG RO (VG4300),0007945074,KUIBA LIVING S.R.L.
4300,VG RO (VG4300),0007945076,SERVICE INCLUS S.R.L.
4300,VG RO (VG4300),0007945085,POIENITA SOCIETATE COOPERATIVA
4300,VG RO (VG4300),0007945094,PHYLOSOPHY DESIGN S.R.L.
4300,VG RO (VG4300),0007945106,BASIC POINT S.R.L.
4300,VG RO (VG4300),0007945112,ONEDIN S.R.L.
4300,VG RO (VG4300),0007945123,INDEPENDENT DESIGN SRL
4300,VG RO (VG4300),0007945215,MOVEXPERT S.R.L.
4300,VG RO (VG4300),0007945315,PREMIUM APPLIANCES S.R.L.
4300,VG RO (VG4300),0007945365,YUKA MOBILI SRL
4300,VG RO (VG4300),0007945385,SPH DESIGN SRL
4300,VG RO (VG4300),0007945391,TRANSILVANIA SERVICE GRUP S.R.L.
4300,VG RO (VG4300),0007945400,BIA SI COM S.R.L.
4300,VG RO (VG4300),0007945401,LEMON INTERIOR DESIGN SRL
4300,VG RO (VG4300),0007945408,SEVILLA MARKETING S.R.L.
4300,VG RO (VG4300),0007945409,DANTE INTERNATIONAL SA
4300,VG RO (VG4300),0007945412,DISTRIBUTION MAGI SRL
4300,VG RO (VG4300),0007945413,AUTO TUNNING SRL
4300,VG RO (VG4300),0007945417,CLASS LINE S.R.L.
4300,VG RO (VG4300),0007945441,INCASSO ELECTROCASNICE SRL
4300,VG RO (VG4300),0007945569,GALES SERVICE S.R.L.
4300,VG RO (VG4300),0007945606,BELLAGIS SRL
4300,VG RO (VG4300),0007945615,ARCESE TRANSPORT SRL
4300,VG RO (VG4300),0007945628,GRAMPET SA
4300,VG RO (VG4300),0007945671,BOB & ADY S.R.L.
4300,VG RO (VG4300),0007967154,CASA BAMBUS SRL
4300,VG RO (VG4300),0007967158,ELECTROCASNICE SRL
4300,VG RO (VG4300),0007967206,P&D POLIDOM PRODUCTIE
4300,VG RO (VG4300),0007979906,THEOREMA CONCEPT SRL
4300,VG RO (VG4300),0007995450,S.C. LA MAISON S.R.L.
4300,VG RO (VG4300),0008006877,WEB COFFEE SRL
4300,VG RO (VG4300),0008029317,MIELE BULGARIA EOOD
4300,VG RO (VG4300),0008067062,COMPLET IT SUPORT SRL
4300,VG RO (VG4300),0008121396,VILUX DESIGN SRL
4300,VG RO (VG4300),0008165523,FOKUSTRAD SRL
4300,VG RO (VG4300),0008190464,SC DECOIN HOMEWARE SRL
4300,VG RO (VG4300),0008677907,NOVEL STUDIO 42 SRL
4300,VG RO (VG4300),0008798793,M&D RETAIL IASI SRL
4300,VG RO (VG4300),0009123202,BL STUDIO ASSOCIATES SRL
4300,VG RO (VG4300),0010443295,ROMSTAL IMEX S.R.L.
4300,VG RO (VG4300),0010523616,Miele d.o.o
4300,VG RO (VG4300),0010526229,Classin Home Design SRL
4300,VG RO (VG4300),0010735307,Lo Spazio Mobili SRL
4300,VG RO (VG4300),0010889229,MOBEXPERT BANEASA SRL
4300,VG RO (VG4300),0010910278,HI-FI INTEGRAL SERVICE S.R.L.
4300,VG RO (VG4300),0011033652,ANTTONY HOME APPLIANCES S.R.L.
4300,VG RO (VG4300),0011125509,M & D RETAIL PIPERA SRL
4300,VG RO (VG4300),0011125511,M & D Retail Brasov
4300,VG RO (VG4300),0011175172,M&D RETAIL CRAIOVA SRL
4300,VG RO (VG4300),0011242708,Norbert Comunication-IT SRL
4300,VG RO (VG4300),0011608987,Total Service Electrocasnice S.R.L.
4300,VG RO (VG4300),0011665058,M&D Retail Bucovina SRL
4300,VG RO (VG4300),0011919278,GEFINA SRL
4300,VG RO (VG4300),0012273507,THE EDIT SRL
4300,VG RO (VG4300),0012463555,II MANEA VASILE GEORGE
4300,VG RO (VG4300),0012592342,AVA GROUP CONTRACT SRL
4300,VG RO (VG4300),0012613435,Miele Sp. z o.o
4300,VG RO (VG4300),0012860019,NOAM Design Group SRL
4300,VG RO (VG4300),0012960882,M & D RETAIL CONSTANTA SRL
4300,VG RO (VG4300),0013143942,MIELE HELLAS GmbH
4300,VG RO (VG4300),0013170142,Morgan & Weber SRL
4300,VG RO (VG4300),0013205895,KITCHEN PRO SRL
4300,VG RO (VG4300),0013224873,KRONSTADT KUECHEN SRL
4300,VG RO (VG4300),0013224999,DEUTSCHE KUECHEN S.R.L.
4300,VG RO (VG4300),0013225118,KUXA NAPOCA SRL
4300,VG RO (VG4300),0013246703,M & D Retail PITESTI SRL
4300,VG RO (VG4300),0013475655,INTERMEDIO GENERAL GRUP S.A.
4300,VG RO (VG4300),0013695759,NEOS INVEST S.R.L.
4300,VG RO (VG4300),0013712874,II Manaz Cornel
