member_code,member_desc
N55,Accommodation
N6920,"Accounting, bookkeeping and auditing activities: tax consult"
N9321,Activities of amusement parks and theme parks
N9411,Activities of business and employers membership organisation
N7810,Activities of employment placement agencies
N7010,Activities of head offices
N6420,Activities of holding companies
N97,Activities of households as employers of domestic personnel
N9700,Activities of households as employers of domestic personnel
N6622,Activities of insurance agents and brokers
N949,Activities of other membership organisations
N9499,Activities of other membership organisations n.e.c.
N9412,Activities of professional membership organisations
N9491,Activities of religious organisations
N9312,Activities of sport clubs
N9420,Activities of trade unions
N7311,Advertising agencies
N4619,Agents involved in the sale of a variety of goods
N4611,"Agents involved in the sale of agricultural raw materials, l"
N4617,"Agents involved in the sale of food, beverages and tobacco"
N4612,"Agents involved in the sale of fuels, ores, metals and indus"
N4615,"Agents involved in the sale of furniture, household goods, h"
N4614,"Agents involved in the sale of machinery, industrial equipme"
N4613,Agents involved in the sale of timber and building materials
N4618,Agents specialised in the sale of other particular products
N932,Amusement and recreation activities
N7111,Architectural activities
N9003,Artistic creation
N5630,Beverage serving activities
N1814,Binding and related services
N72113,Biotechnical research and development in other fields
N72111,Biotechnical research and development on agricultural produc
N72112,Biotechnical research and development on medical products an
N5811,Book publishing
N9104,Botanical and zoological gardens and nature reserves activit
N3012,Building of pleasure and sporting boats
N301,Building of ships and boats
N3011,Building of ships and floating structures
N7022,Business and other management consultancy activities
N6810,Buying and selling of own real estate
N5530,"Camping grounds, recreational vehicle parks and trailer park"
N5224,Cargo handling
N8891,Child day-care activities
N3811,Collection of non-hazardous waste
N8110,Combined facilities support activities
N8211,Combined office administrative service activities
N6202,Computer consultancy activities
N6203,Computer facilities management activities
N6201,Computer programming activities
N4213,Construction of bridges and tunnels
N41,Construction of buildings
N4120,Construction of residential and non-residential buildings
N4291,Construction of water projects
N8552,Cultural education
N6311,"Data processing, hosting and related activities"
N8422,Defence activities
N8623,Dental practice activities
N862321,Dental practise spezialized in oral surgery
N411,Development of building projects
N4110,Development of building projects
N4773,Dispensing chemist in specialised stores
N1101,"Distilling, rectifying and blending of spirits"
N85,Education
N8560,Educational support activities
N4321,Electrical installation
N7112,Engineering activities and related technical consultancy
N5621,Event catering activities
N562,Event catering and other food service activities
N0610,Extraction of crude petroleum
N6491,Financial leasing
N64,"Financial service activities, except insurance and pension f"
N1330,Finishing of textiles
N8425,Fire service activities
N9313,Fitness facilities
N4333,Floor and wall covering
N56,Food and beverage service activities
N4941,Freight transport by road
N6630,Fund management activities
