full_ph,ph1_product_type,ph2_product_area,ph3_article_group,ph4_product_profit_centre,ph5_article_sub_group,prod_hier_text_de,prod_hier_text_en,profit_centre,reference_material_no,profit_centre_text_de,profit_centre_text_en,reference_prod_hierarchy,reporting_prod_category,reference_prod_hier_text_de,reference_prod_hier_text_en,reporting_prod_grp1,reporting_prod_grp1_text_de,reporting_prod_grp1_text_en,reporting_prod_grp2,reporting_prod_grp2_text_de,reporting_prod_grp2_text_en,reporting_prod_grp3,reporting_prod_grp3_text_de,reporting_prod_grp3_text_en,reporting_prod_grp4,reporting_prod_grp4_text_de,reporting_prod_grp4_text_en
10,10,,,,,Geräte u. nachkaufb. Ausstattung,Appliances and machine options,940,50517015,Geräte u. nachkaufb. Ausstattung        ,Appliances and machine options          ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
1010,10,10,,,,Geräte Haushalt,Domestic appliances,940,50517016,Geräte Haushalt                         ,Domestic appliances                     ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011,10,10,11,,,Waschmaschinen,Washing machines,940,50517233,Waschmaschinen                          ,Washing machines                        ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111,10,10,11,111,,Waschmaschinen Frontlader,Washing machines frontloaders,111,50517234,Waschmaschinen Frontlader               ,Washing machines frontloaders           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111111,10,10,11,111,111,Waschmaschinen Frontlader,Washing machines frontloaders,111,50517235,Waschmaschinen Frontlader               ,Washing machines frontloaders           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111611,10,10,11,111,611,Sonstige Waschmaschinen,Miscellaneous washing machines,111,50517237,Sonstige Waschmaschinen                 ,Miscellaneous washing machines          ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111700,10,10,11,111,700,Digitale Produkte Waschmaschinen,Digital products washing machines,111,50519694,Digitale Produkte Waschmaschinen        ,Digital products washing machines       ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111711,10,10,11,111,711,Zusätz.Ausstattung Waschmaschinen,Machine options - Washing machines,111,50517238,Zusätz.Ausstattung Waschmaschinen       ,Machine options - Washing machines      ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011111911,10,10,11,111,911,Nachlässe Waschmaschinen,Discounts - Washing machines,111,50517239,Nachlässe Waschmaschinen                ,Discounts - Washing machines            ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,401,Waschmaschinen Frontlader,Washing machines frontloaders
101011115,10,10,11,115,,Waschmaschinen Toplader,Washing machines toploaders,115,50517240,Waschmaschinen Toplader                 ,Washing machines toploaders             ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,402,Waschmaschinen Toplader,Washing machines toploaders
101011115211,10,10,11,115,211,Waschmaschinen Toplader,Washing machines toploaders,115,50517241,Waschmaschinen Toplader                 ,Washing machines toploaders             ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,402,Waschmaschinen Toplader,Washing machines toploaders
101011118,10,10,11,118,,Waschtrockner,Washer-dryers,118,50517242,Waschtrockner                           ,Washer-dryers                           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,403,Waschtrockner,Washer-dryers
101011118311,10,10,11,118,311,Waschtrockner,Washer-dryers,118,50517243,Waschtrockner                           ,Washer-dryers                           ,                    ,010,MDA Standgeräte,MDA freestanding,111,BU Wäschepflege,BU Laundry,231,Wäschepflege Geräte,Laundry Appliances,331,Waschen,Washing,403,Waschtrockner,Washer-dryers
