member_code,member_desc
0001,EVU
0003,Presse
0101,unkoop.EL-Facheinzel
0102,koop. EL-Facheinzelh
0103,Hausrat/Eisenw.Fach
0104,Einrichtungshäuser
0105,Küchenspezialhäuser
0106,Warenhauskonzerne
0107,frei
0108,SB-Verbrauchermärkte
0109,PRO Repairer (Ecodes
0110,Miele Spezial-Handel
0111,Miele Spez.Vertr.Hdl
0114,Möbelhäuser m. Stand
0115,Küchenspezialh.Stand
0119,sonst. Einzelhandel
0121,Fachmarktketten
0122,koop. EL-Fachmarkt
0123,unkoop.EL-Fachmarkt
0125,Küchenfachmärkte
0135,Innenausb./Schrein.
0151,Medizinfachhandel
0152,Laborfachhandel
0153,Dentalfachhandel
0157,Planer/Einrichter WS
0158,Planer/Einrichter MD
0201,Elektro-Grosshandel
0202,Sanitär-Grosshandel
0203,frei
0205,frei
0206,frei
0207,frei
0219,Sonstige Grosshandel
0301,Belegschaftsverkauf
0302,Bauträger (Haushalt)
0303,So.Direktabnehmer HH
0304,Miele Gesellschafter
0305,Miele Verkaufsges.
0306,Objektgeschäfte
0307,Kochschulen
0308,Family and Friends
0309,Energieversorgung
0311,EK-Verbände Elek. EH
0312,EK-Verbände Elek. GH
0313,EK-Verbände Möbelhdl
0321,Verbandsregulierer
0322,Softwarehäuser
0331,Krankenhaus/Klinik
0332,Labor/Ind/Bio/Chem
0333,Instrumentenaufber.
0334,Sonst. Kirche/Komm.
0335,Schnellrest./Ketten
0336,Hotel/Pension
0337,Pflegeeinrichtung
0338,Gebäudereinigung
0339,Camping
0340,Wäschrei /Reinigung
0341,Wohnungsbau
0342,Alten-/Pflegeheim
0343,Behörde/Verein/öffen
0344,Andere Dienstleister
0345,Feuerwehr/Rettung
0346,Handwerksbetr./Büro
0347,Restaurant/Bar/Cater
0348,niedergelassen. Arzt
0349,Sonst.Direktabn. PRO
0350,Reitstall/Reiterhof
0351,Waschsalon
0352,Schule
0353,Vereins-/Pfarrheim
0354,Mehrfam./Stud.Wohnh.
0355,Zahnarzt/Dental
0356,Sauna/Wellness/Clubs
0357,Kindergarten/ KiTa
0358,Friseur
0359,Pharma
0360,Marine/Schiffsbau
0361,Andere
0362,alt
0390,CPD Domestic
0391,CPD Professional
0401,Küchenmöbel-Herstell
0402,Elektroger. Herstell
0403,OEM-Kunde (Inland)
0501,Versandhäuser
0601,Spedition
#,Not assigned
