client_number,language_key,customer_account_group_code,account_group_name,flag_relevant
010,D,0001,Auftraggeber,Not relevant
010,D,0002,Warenempfänger,Not relevant
010,D,0003,Regulierer,Not relevant
010,D,0004,Rechnungsempfänger,Not relevant
010,D,0005,Interessent,Not relevant
010,D,0006,Wettbewerber,Not relevant
010,D,0007,Vertriebspartner,Not relevant
010,D,0012,Hierarchieknoten,Not relevant
010,D,0100,Verteilzentrum,Partner / Customer
010,D,0101,Auftraggeber Miele VZ 01,Partner / Customer
010,D,0102,Auftraggeber Miele VZ 02,Partner / Customer
010,D,0103,Auftraggeber Miele VZ 03,Partner / Customer
010,D,0104,Auftraggeber Miele VZ 04,Partner / Customer
010,D,0107,Auftraggeber Miele VZ 07,Partner / Customer
010,D,0109,Auftraggeber Miele VZ 09,Partner / Customer
010,D,0110,Filiale ohne interne Verr.,Partner / Customer
010,D,0111,Auftraggeber Miele VZ 11,Partner / Customer
010,D,0112,Auftraggeber Miele VZ 12,Partner / Customer
010,D,0115,Auftraggeber Miele VZ 15,Partner / Customer
010,D,0116,Auftraggeber Miele VZ 16,Partner / Customer
010,D,0120,Filiale mit interner Verr.,Partner / Customer
010,D,0123,Auftraggeber Miele VZ 23,Partner / Customer
010,D,0124,Auftraggeber Miele VZ 24,Partner / Customer
010,D,0125,Auftraggeber Miele VZ 25,Partner / Customer
010,D,0128,Auftraggeber Miele VZ 28,Partner / Customer
010,D,0129,Auftraggeber Miele VZ,Partner / Customer
010,D,0130,Filiale mit externer Verr.,Partner / Customer
010,D,0131,Auftraggeber Miele VZ 31,Partner / Customer
010,D,0133,Auftraggeber Miele VZ 33,Partner / Customer
010,D,0134,Auftraggeber Miele Mietprojekt,Partner / Customer
010,D,0135,Miele Verbandsmitglieder,Partner / Customer
010,D,0140,"Sortim., veraltet, nicht verw.",Partner / Customer
010,D,0150,Auftraggeber HDL Miele Ausland,Partner / Customer
010,D,0151,Internationale Debitoren,Partner / Customer
010,D,0160,Großhandelskunde,Partner / Customer
010,D,0170,Konsument,Partner / Customer
010,D,0177,Auftragg. Mie HDL Detail Ausla,Partner / Customer
010,D,0184,Auftraggeber Miele HDL Sonstig,Partner / Customer
010,D,0185,Debitoren zu Lieferanten,Partner / Customer
010,D,B201,CPD/Extranet/Prof Kunde,Consumer
010,D,B202,B2C Kunde 10-stellig,Consumer
010,D,B203,B2C Light User,Consumer
010,D,CP01,CPD-Kunde Miele VZ 01,Consumer
010,D,CP02,CPD-Kunde Miele VZ 02,Consumer
010,D,CP03,CPD-Kunde Miele VZ 03,Consumer
010,D,CP04,CPD-Kunde Miele VZ 04,Consumer
010,D,CP11,CPD-Kunde Miele VZ 11,Consumer
010,D,CP12,CPD-Kunde Miele VZ 12,Consumer
010,D,CP24,CPD-Kunde Miele VZ 24,Consumer
010,D,CP25,CPD-Kunde Miele VZ 25,Consumer
010,D,CP28,CPD-Kunde Miele VZ 28,Consumer
010,D,CP31,CPD-Kunde Miele VZ 31,Consumer
010,D,CP33,CPD-Kunde Miele VZ 33,Consumer
010,D,CP50,CPD-Kunde Miele Ausland,Consumer
010,D,CP51,CPD-Kunde Miele Ausland 1,Consumer
010,D,CP74,CPD-Angehörige von Werksangehö,Consumer
010,D,CP77,CPD-Kunde Miele Detail Ausland,Consumer
010,D,CP84,CPD-Kunde Miele Sonst. Kunden,Consumer
010,D,CPD,CPD-Debitoren (int. NrVergabe),Consumer
010,D,CPDA,CPD-Debitoren (ext. NrVergabe),Consumer
010,D,CW50,CPD Warenempf. Miele Ausland,Consumer
010,D,DEBI,Debitor allgemein,Partner / Customer
010,D,KUNA,Debitoren (ext. NrVergabe),Partner / Customer
010,D,MA51,Werksangehöriger Werk 51,Employee
010,D,MA52,Werksangehöriger Werk 52,Employee
010,D,MA53,Werksangehöriger Werk 53,Employee
010,D,MA54,Werksangehöriger Werk 54,Employee
010,D,MA55,Werksangehöriger Werk 55,Employee
010,D,MA56,Werksangehöriger Werk 56,Employee
010,D,MA57,Werksangehöriger Werk 57,Employee
010,D,MA58,Werksangehöriger Werk 58,Employee
010,D,MA59,Werksangehörige Mitarbeiter VZ,Employee
010,D,REI0,Miele-Reisebezirke,Territory
010,D,SO01,Auftragg. Sonstige Kunden VZ01,Partner / Customer
010,D,SO04,Auftragg. Sonstige Kunden VZ04,Partner / Customer
010,D,SO11,Auftragg. Sonstige Kunden VZ11,Partner / Customer
010,D,SO12,Auftragg. Sonstige Kunden VZ12,Partner / Customer
010,D,SO24,Auftragg. Sonstige Kunden VZ24,Partner / Customer
010,D,SO25,Auftragg. Sonstige Kunden VZ25,Partner / Customer
010,D,SO28,Auftragg. Sonstige Kunden VZ28,Partner / Customer
010,D,SO31,Auftragg. Sonstige Kunden VZ31,Partner / Customer
010,D,SO33,GR-Auftragg.Sonst.Kunden EH/GH,Partner / Customer
010,D,SO41,Auftragg. Sonst. Kunden Werk41,Partner / Customer
010,D,SO43,Auftragg. Sonst. Kunden Werk43,Partner / Customer
010,D,SO44,Auftragg. Sonst. Kunden Werk44,Partner / Customer
010,D,SO45,Auftragg. Sonst. Kunden Werk45,Partner / Customer
010,D,SO46,Auftragg. Sonst. Kunden Werk46,Partner / Customer
010,D,SO47,Auftragg. Sonst. Kunden Werk47,Partner / Customer
010,D,SO48,Auftragg. Sonst. Kunden Werk48,Partner / Customer
010,D,SO50,Auftrgg. Sonst. Kunden Ausland,Partner / Customer
010,D,SO51,Regulie. Sonst. Kunden Ausland,Partner / Customer
010,D,SO76,Teilzahl. Sonst. Kunden Buchh.,Partner / Customer
010,D,SO78,Klagekt. Sonst. Kunden Buchh.,Partner / Customer
010,D,SO79,Dubiose Sonst. Kunden Buchh.!,Partner / Customer
010,D,VVD,Debitor TR-LO,Not relevant
010,D,WA50,Auftraggeber Waf Hdl. Ausland,Not relevant
010,D,WE01,Warenempfänger Miele Inland,Ship-To-Org
010,D,WE50,Warenempfänger Miele Ausland,Ship-To-Org
010,D,ZA01,Marketing-Adresse Miele Inland,Marketing Prospect
010,D,ZCEX,Kunden extern,Sales Prospect
010,D,ZR50,Hdl. Kurstyp Projektkurs Ausl.,Not relevant
