member_code,member_desc
0,ALT  Linien-Programm
1,ALT FH-Programm Stan
2,Exklusiv-Programm
3,FH-Progr. Stand
4,FH-Programm Bodenpfl
5,FH-Programm Stand-CM
6,FH-Progr. Einbau
8,FH-Plus Bodenpflege
9,Dialoggarer
10,Linien-Programm Bode
11,Classic-Programm
12,Premium-Programm
13,ALT Premium-Programm
14,Möbelhandel
15,FH-Progr. Dampfbügel
18,FH-Plus Stand-CM
19,FH-Selection
21,Sonderprogramm OEM-O
26,K  - Desinfekt.+Rein
30,D  - Desinfekt.+Rein
32,G  - Wäschereimaschi
33,P  - Kleingewerbe
36,GG - Gewerbegeschirr
37,PAC - Luftreinigungs
39,GGx- Gewerbegeschirr
41,L - Laborgeräte
53,Online
56,Nobilia Blockvermark
#,Not assigned
