member_code,member_desc
ABO,ABO (generated)
AKVA,Campaign Event
APP,App ShopConnect 2.0
B2C,B2C Consumer
B2M,Employee Online Shop
C4C,C4C order VTB / VL
DISP,Dispatch form VTB /
EDI,EDI Dealer
ERLZ,electron. Ret. Run t
EVE,Event booking
FAX,Fax end customer
FAXK,Fax dealer
FAXV,Fax VTB/VL
INT,Extranet Dealer
IPS,IPS
KDT,Service Technician
KPM,Billing reduction
KTF,Customer Hotline
LP,Logistics platform
MAIB,E-Mail BM
MAIK,Email Dealer
MAIL,E-Mail Consumer
MAIS,E-Mail Carrier
MAIV,E-Mail VTB/VL
MECB,MEC Berlin
MECD,MEC Düsseldorf
MECG,Employee Shop&MEC GT
MSZ,Miele service certif
MUEN,personell (on-site)
RTF,Return form
SCHK,Post by Dealer
SCHR,Post by Consumer
STSH,Vacuum Cleaner Shop
TELB,Call BM
TELE,Call Consumer
TELK,Call Dealer
TELS,Call Carrier
TELV,Call Carrier
TESA,TeleSales
WVZ,Goods receipt WVZ
ZENT,Central order / dist
#,Not assigned
